type,obs,calc,time
gui,500,56,769
comp,500,56,276
gui,500,56,738
comp,500,56,400
gui,500,56,1334
comp,500,56,422
gui,500,56,1362
comp,500,56,295
gui,500,56,828
comp,500,56,293
gui,500,56,757
comp,500,56,301
gui,500,56,773
comp,500,56,309
gui,500,56,736
comp,500,56,412
gui,500,56,1367
comp,500,56,295
gui,500,56,733
comp,500,56,313
gui,500,56,761
comp,500,56,310
gui,500,56,790
comp,500,56,379
gui,500,56,1104
comp,500,56,294
gui,500,56,877
comp,500,56,326
gui,500,56,739
comp,500,56,293
gui,500,56,957
comp,500,56,275
gui,500,56,1206
comp,500,56,315
gui,500,56,788
comp,500,56,318
gui,500,56,770
comp,500,56,419
gui,500,56,784
comp,500,56,289
gui,500,56,755
comp,500,56,392
gui,500,56,1148
comp,500,56,388
gui,500,56,1000
comp,500,56,405
gui,500,56,724
comp,500,56,294
gui,500,56,749
comp,500,56,298
gui,500,56,888
comp,500,56,394
gui,500,56,1118
comp,500,56,432
gui,500,56,750
comp,500,56,324
gui,500,56,752
comp,500,56,404
gui,500,56,780
comp,500,56,380
gui,500,56,767
comp,500,56,298
gui,500,56,772
comp,500,56,401
gui,500,56,803
comp,500,56,373
gui,500,56,772
comp,500,56,328
gui,500,56,756
comp,500,56,300
gui,500,56,1029
comp,500,56,322
gui,500,56,717
comp,500,56,340
gui,500,56,1078
comp,500,56,324
gui,500,56,1047
comp,500,56,360
gui,500,56,771
comp,500,56,435
gui,500,56,700
comp,500,56,335
gui,500,56,795
comp,500,56,372
gui,500,56,968
comp,500,56,309
gui,500,56,879
comp,500,56,337
gui,500,56,993
comp,500,56,397
gui,500,56,1043
comp,500,56,334
gui,500,56,1053
comp,500,56,442
gui,500,56,1365
comp,500,56,356
gui,500,56,1037
comp,500,56,273
gui,500,56,1238
comp,500,56,312
gui,500,56,853
comp,500,56,270
gui,500,56,740
comp,500,56,311
gui,500,56,743
comp,500,56,435
gui,500,56,1307
comp,500,56,442
gui,500,56,957
comp,500,56,326
gui,500,56,700
comp,500,56,367
gui,500,56,1307
comp,500,56,307
gui,500,56,694
comp,500,56,270
gui,500,56,764
comp,500,56,424
gui,500,56,1029
comp,500,56,283
gui,500,56,704
comp,500,56,273
gui,500,56,690
comp,500,56,287
gui,500,56,715
comp,500,56,297
gui,500,56,705
comp,500,56,341
gui,500,56,1005
comp,500,56,272
gui,500,56,724
comp,500,56,276
gui,500,56,685
comp,500,56,276
gui,500,56,695
comp,500,56,334
gui,500,56,845
comp,500,56,430
gui,500,56,1342
comp,500,56,378
gui,500,56,1263
comp,500,56,332
gui,500,56,789
comp,500,56,446
gui,500,56,1256
comp,500,56,383
gui,500,56,1336
comp,500,56,297
gui,500,56,771
comp,500,56,326
gui,500,56,1254
comp,500,56,274
gui,500,56,729
comp,500,56,276
gui,500,56,712
comp,500,56,270
gui,500,56,726
comp,500,56,296
gui,500,56,875
comp,500,56,311
gui,500,56,731
comp,500,56,277
gui,500,56,737
comp,500,56,273
gui,500,56,711
comp,500,56,349
gui,500,56,1481
comp,500,56,345
gui,500,56,988
comp,500,56,310
gui,500,56,762
comp,500,56,310
gui,500,56,715
comp,500,56,327
gui,500,56,1008
comp,500,56,294
gui,500,56,755
comp,500,56,344
gui,500,56,1360
comp,500,56,271
gui,500,56,741
comp,500,56,312
gui,500,56,702
comp,500,56,299
gui,500,56,806
comp,500,56,416
gui,500,56,1215
comp,500,56,337
gui,500,56,1101
comp,500,56,286
gui,500,56,747
comp,500,56,269
gui,500,56,791
comp,500,56,311
gui,500,56,724
comp,500,56,435
gui,500,56,1423
comp,500,56,318
gui,500,56,742
comp,500,56,521
gui,500,56,1373
comp,500,56,350
gui,500,56,819
comp,500,56,380
gui,500,56,1440
comp,500,56,310
gui,500,56,735
comp,500,56,385
gui,500,56,1418
comp,500,56,319
gui,500,56,756
comp,500,56,269
gui,500,56,777
comp,500,56,267
gui,500,56,718
comp,500,56,377
gui,500,56,1275
comp,500,56,437
gui,500,56,1526
comp,500,56,278
gui,500,56,755
comp,500,56,511
gui,500,56,1374
comp,500,56,494
gui,500,56,1483
comp,500,56,401
gui,500,56,1383
comp,500,56,381
gui,500,56,876
comp,500,56,388
gui,500,56,1305
comp,500,56,378
gui,500,56,1368
comp,500,56,445
gui,500,56,1713
comp,500,56,445
gui,500,56,1290
comp,500,56,269
gui,500,56,767
comp,500,56,363
gui,500,56,1246
comp,500,56,310
gui,500,56,1251
comp,500,56,423
gui,500,56,1010
comp,500,56,275
gui,500,56,726
comp,500,56,324
gui,500,56,749
comp,500,56,273
gui,500,56,753
comp,500,56,468
gui,500,56,1398
comp,500,56,325
gui,500,56,1498
comp,500,56,317
gui,500,56,974
comp,500,56,332
gui,500,56,884
comp,500,56,270
gui,500,56,1023
comp,500,56,268
gui,500,56,781
comp,500,56,278
gui,500,56,1097
comp,500,56,270
gui,500,56,825
comp,500,56,374
gui,500,56,1038
comp,500,56,361
gui,500,56,1014
comp,500,56,296
gui,500,56,716
comp,500,56,333
gui,500,56,970
comp,500,56,292
gui,500,56,786
comp,500,56,278
gui,500,56,785
comp,500,56,549
gui,500,56,1569
comp,500,56,380
gui,500,56,995
comp,500,56,313
gui,500,56,755
comp,500,56,336
gui,500,56,1303
comp,500,56,291
gui,500,56,888
comp,500,56,399
gui,500,56,1569
comp,500,56,548
gui,500,56,1614
comp,500,56,306
gui,500,56,749
comp,500,56,313
gui,500,56,770
comp,500,56,349
gui,500,56,1118
comp,500,56,383
gui,500,56,1089
comp,500,56,278
gui,500,56,758
comp,500,56,438
gui,500,56,1534
comp,500,56,416
gui,500,56,1547
comp,500,56,293
gui,500,56,836
comp,500,56,467
gui,500,56,1373
comp,500,56,364
gui,500,56,1498
comp,500,56,499
gui,500,56,1479
comp,500,56,527
gui,500,56,1526
comp,600,56,314
gui,600,56,1003
comp,600,56,354
gui,600,56,584
comp,600,56,529
gui,600,56,1570
comp,600,56,580
gui,600,56,1384
comp,600,56,460
gui,600,56,903
comp,600,56,328
gui,600,56,1305
comp,600,56,562
gui,600,56,1571
comp,600,56,411
gui,600,56,1050
comp,600,56,447
gui,600,56,1672
comp,600,56,1242
gui,600,56,2070
comp,600,56,331
gui,600,56,785
comp,600,56,536
gui,600,56,1318
comp,600,56,325
gui,600,56,881
comp,600,56,430
gui,600,56,909
comp,600,56,497
gui,600,56,1064
comp,600,56,368
gui,600,56,815
comp,600,56,484
gui,600,56,1468
comp,600,56,315
gui,600,56,814
comp,600,56,315
gui,600,56,793
comp,600,56,314
gui,600,56,773
comp,600,56,327
gui,600,56,838
comp,600,56,404
gui,600,56,840
comp,600,56,432
gui,600,56,1080
comp,600,56,448
gui,600,56,1438
comp,600,56,358
gui,600,56,876
comp,600,56,443
gui,600,56,1475
comp,600,56,544
gui,600,56,1539
comp,600,56,450
gui,600,56,1152
comp,600,56,592
gui,600,56,1562
comp,600,56,360
gui,600,56,848
comp,600,56,341
gui,600,56,787
comp,600,56,348
gui,600,56,854
comp,600,56,432
gui,600,56,1383
comp,600,56,327
gui,600,56,836
comp,600,56,316
gui,600,56,1001
comp,600,56,386
gui,600,56,874
comp,600,56,327
gui,600,56,1135
comp,600,56,577
gui,600,56,1728
comp,600,56,329
gui,600,56,1019
comp,600,56,324
gui,600,56,1044
comp,600,56,436
gui,600,56,995
comp,600,56,317
gui,600,56,856
comp,600,56,325
gui,600,56,788
comp,600,56,564
gui,600,56,1528
comp,600,56,389
gui,600,56,1468
comp,600,56,406
gui,600,56,1517
comp,600,56,356
gui,600,56,800
comp,600,56,544
gui,600,56,1573
comp,600,56,462
gui,600,56,1497
comp,600,56,601
gui,600,56,1580
comp,600,56,351
gui,600,56,876
comp,600,56,542
gui,600,56,2071
comp,600,56,367
gui,600,56,1403
comp,600,56,325
gui,600,56,1422
comp,600,56,352
gui,600,56,793
comp,600,56,516
gui,600,56,1908
comp,600,56,465
gui,600,56,1436
comp,600,56,316
gui,600,56,849
comp,600,56,368
gui,600,56,846
comp,600,56,445
gui,600,56,1420
comp,600,56,437
gui,600,56,1524
comp,600,56,462
gui,600,56,1620
comp,600,56,325
gui,600,56,868
comp,600,56,473
gui,600,56,1603
comp,600,56,327
gui,600,56,897
comp,600,56,403
gui,600,56,1463
comp,600,56,439
gui,600,56,1525
comp,600,56,361
gui,600,56,851
comp,600,56,541
gui,600,56,1694
comp,600,56,356
gui,600,56,795
comp,600,56,450
gui,600,56,1741
comp,600,56,329
gui,600,56,851
comp,600,56,355
gui,600,56,1016
comp,600,56,380
gui,600,56,1673
comp,600,56,384
gui,600,56,1027
comp,600,56,342
gui,600,56,873
comp,600,56,340
gui,600,56,856
comp,600,56,370
gui,600,56,839
comp,600,56,448
gui,600,56,966
comp,600,56,580
gui,600,56,1829
comp,600,56,565
gui,600,56,1539
comp,600,56,439
gui,600,56,1600
comp,600,56,342
gui,600,56,834
comp,600,56,328
gui,600,56,888
comp,600,56,568
gui,600,56,1736
comp,600,56,422
gui,600,56,1526
comp,600,56,544
gui,600,56,1569
comp,600,56,321
gui,600,56,907
comp,600,56,477
gui,600,56,1381
comp,600,56,338
gui,600,56,1061
comp,600,56,457
gui,600,56,1070
comp,600,56,342
gui,600,56,876
comp,600,56,330
gui,600,56,890
comp,600,56,358
gui,600,56,810
comp,600,56,318
gui,600,56,851
comp,600,56,381
gui,600,56,923
comp,600,56,433
gui,600,56,1039
comp,600,56,532
gui,600,56,904
comp,600,56,337
gui,600,56,830
comp,600,56,391
gui,600,56,929
comp,600,56,414
gui,600,56,1584
comp,600,56,361
gui,600,56,849
comp,600,56,375
gui,600,56,848
comp,600,56,459
gui,600,56,1723
comp,600,56,352
gui,600,56,800
comp,600,56,332
gui,600,56,808
comp,600,56,355
gui,600,56,1155
comp,600,56,344
gui,600,56,817
comp,600,56,426
gui,600,56,867
comp,600,56,335
gui,600,56,841
comp,600,56,342
gui,600,56,1187
comp,600,56,329
gui,600,56,847
comp,600,56,525
gui,600,56,1025
comp,600,56,471
gui,600,56,1507
comp,600,56,345
gui,600,56,882
comp,600,56,350
gui,600,56,819
comp,600,56,557
gui,600,56,1504
comp,600,56,315
gui,600,56,861
comp,600,56,326
gui,600,56,1207
comp,600,56,399
gui,600,56,1033
comp,600,56,343
gui,600,56,799
comp,600,56,322
gui,600,56,757
comp,600,56,323
gui,600,56,760
comp,600,56,344
gui,600,56,794
comp,600,56,315
gui,600,56,876
comp,600,56,346
gui,600,56,863
comp,600,56,371
gui,600,56,840
comp,600,56,332
gui,600,56,775
comp,600,56,356
gui,600,56,752
comp,600,56,326
gui,600,56,1019
comp,600,56,332
gui,600,56,797
comp,600,56,392
gui,600,56,831
comp,600,56,340
gui,600,56,818
comp,600,56,325
gui,600,56,874
comp,600,56,320
gui,600,56,761
comp,600,56,444
gui,600,56,1529
comp,600,56,342
gui,600,56,815
comp,600,56,465
gui,600,56,1494
comp,600,56,354
gui,600,56,824
comp,600,56,403
gui,600,56,858
comp,600,56,451
gui,600,56,1385
comp,600,56,334
gui,600,56,847
comp,600,56,440
gui,600,56,837
comp,600,56,352
gui,600,56,757
comp,600,56,641
gui,600,56,1040
comp,600,56,446
gui,600,56,1577
comp,600,56,340
gui,600,56,864
comp,600,56,332
gui,600,56,827
comp,600,56,325
gui,600,56,978
comp,600,56,488
gui,600,56,1524
comp,600,56,357
gui,600,56,763
comp,600,56,467
gui,600,56,1661
comp,600,56,343
gui,600,56,832
comp,600,56,343
gui,600,56,825
comp,600,56,356
gui,600,56,804
comp,600,56,525
gui,600,56,1722
comp,600,56,343
gui,600,56,817
comp,600,56,343
gui,600,56,762
comp,600,56,382
gui,600,56,1125
comp,600,56,355
gui,600,56,1119
comp,600,56,352
gui,600,56,849
comp,600,56,344
gui,600,56,1071
comp,600,56,386
gui,600,56,850
comp,600,56,351
gui,600,56,1086
comp,600,56,362
gui,600,56,835
comp,600,56,483
gui,600,56,1636
comp,600,56,522
gui,600,56,1378
comp,600,56,373
gui,600,56,897
comp,600,56,325
gui,600,56,1180
comp,600,56,356
gui,600,56,815
comp,600,56,381
gui,600,56,823
comp,600,56,360
gui,600,56,767
comp,600,56,326
gui,600,56,851
comp,600,56,332
gui,600,56,831
comp,600,56,457
gui,600,56,1459
comp,600,56,434
gui,600,56,833
comp,600,56,360
gui,600,56,826
comp,600,56,349
gui,600,56,790
comp,600,56,355
gui,600,56,831
comp,600,56,506
gui,600,56,1397
comp,600,56,368
gui,600,56,816
comp,600,56,394
gui,600,56,852
comp,600,56,344
gui,600,56,812
comp,600,56,419
gui,600,56,884
comp,600,56,357
gui,600,56,957
comp,600,56,443
gui,600,56,1301
comp,600,56,395
gui,600,56,803
comp,600,56,323
gui,600,56,1137
comp,600,56,336
gui,600,56,1199
comp,600,56,509
gui,600,56,1287
comp,600,56,557
gui,600,56,1848
comp,600,56,474
gui,600,56,1440
comp,600,56,351
gui,600,56,821
comp,600,56,393
gui,600,56,1433
comp,600,56,382
gui,600,56,944
comp,600,56,361
gui,600,56,954
comp,600,56,314
gui,600,56,855
comp,600,56,569
gui,600,56,1966
comp,600,56,439
gui,600,56,1415
comp,600,56,575
gui,600,56,2017
comp,600,56,424
gui,600,56,1860
comp,600,56,547
gui,600,56,1718
comp,600,56,367
gui,600,56,1069
comp,600,56,316
gui,600,56,849
comp,600,56,330
gui,600,56,1180
comp,600,56,313
gui,600,56,854
comp,600,56,415
gui,600,56,1471
comp,600,56,445
gui,600,56,1449
comp,600,56,330
gui,600,56,792
comp,600,56,489
gui,600,56,1615
comp,600,56,556
gui,600,56,1516
comp,600,56,477
gui,600,56,1402
comp,600,56,448
gui,600,56,1253
comp,600,56,314
gui,600,56,953
comp,600,56,313
gui,600,56,866
comp,600,56,464
gui,600,56,1573
comp,600,56,553
gui,600,56,1490
comp,600,56,331
gui,600,56,890
comp,600,56,372
gui,600,56,898
comp,700,56,387
gui,700,56,847
comp,700,56,516
gui,700,56,700
comp,700,56,417
gui,700,56,762
comp,700,56,361
gui,700,56,772
comp,700,56,544
gui,700,56,1367
comp,700,56,422
gui,700,56,740
comp,700,56,442
gui,700,56,887
comp,700,56,514
gui,700,56,1787
comp,700,56,371
gui,700,56,921
comp,700,56,384
gui,700,56,821
comp,700,56,378
gui,700,56,786
comp,700,56,376
gui,700,56,945
comp,700,56,391
gui,700,56,1257
comp,700,56,417
gui,700,56,1056
comp,700,56,366
gui,700,56,831
comp,700,56,540
gui,700,56,1588
comp,700,56,553
gui,700,56,1631
comp,700,56,394
gui,700,56,884
comp,700,56,377
gui,700,56,1027
comp,700,56,510
gui,700,56,1685
comp,700,56,530
gui,700,56,1882
comp,700,56,514
gui,700,56,1727
comp,700,56,440
gui,700,56,1718
comp,700,56,361
gui,700,56,960
comp,700,56,361
gui,700,56,957
comp,700,56,441
gui,700,56,1270
comp,700,56,363
gui,700,56,992
comp,700,56,529
gui,700,56,1212
comp,700,56,437
gui,700,56,1021
comp,700,56,372
gui,700,56,1008
comp,700,56,512
gui,700,56,1877
comp,700,56,384
gui,700,56,976
comp,700,56,515
gui,700,56,1796
comp,700,56,499
gui,700,56,1102
comp,700,56,361
gui,700,56,1229
comp,700,56,375
gui,700,56,1055
comp,700,56,364
gui,700,56,1027
comp,700,56,495
gui,700,56,1701
comp,700,56,403
gui,700,56,972
comp,700,56,415
gui,700,56,1056
comp,700,56,446
gui,700,56,1030
comp,700,56,445
gui,700,56,1181
comp,700,56,403
gui,700,56,990
comp,700,56,399
gui,700,56,960
comp,700,56,356
gui,700,56,1138
comp,700,56,457
gui,700,56,1945
comp,700,56,385
gui,700,56,1084
comp,700,56,391
gui,700,56,1302
comp,700,56,425
gui,700,56,1354
comp,700,56,434
gui,700,56,1762
comp,700,56,592
gui,700,56,1965
comp,700,56,417
gui,700,56,1030
comp,700,56,387
gui,700,56,1097
comp,700,56,614
gui,700,56,1930
comp,700,56,398
gui,700,56,1062
comp,700,56,361
gui,700,56,1593
comp,700,56,359
gui,700,56,1080
comp,700,56,379
gui,700,56,1077
comp,700,56,362
gui,700,56,1071
comp,700,56,493
gui,700,56,1157
comp,700,56,679
gui,700,56,2405
comp,700,56,517
gui,700,56,1767
comp,700,56,474
gui,700,56,1228
comp,700,56,413
gui,700,56,1277
comp,700,56,374
gui,700,56,3495
comp,700,56,394
gui,700,56,1063
comp,700,56,401
gui,700,56,1037
comp,700,56,370
gui,700,56,928
comp,700,56,415
gui,700,56,1019
comp,700,56,472
gui,700,56,2561
comp,700,56,561
gui,700,56,1926
comp,700,56,428
gui,700,56,1840
comp,700,56,395
gui,700,56,987
comp,700,56,371
gui,700,56,1305
comp,700,56,507
gui,700,56,1829
comp,700,56,397
gui,700,56,1087
comp,700,56,405
gui,700,56,1001
comp,700,56,379
gui,700,56,1026
comp,700,56,412
gui,700,56,1115
comp,700,56,368
gui,700,56,1085
comp,700,56,386
gui,700,56,1196
comp,700,56,364
gui,700,56,960
comp,700,56,404
gui,700,56,947
comp,700,56,387
gui,700,56,963
comp,700,56,492
gui,700,56,1795
comp,700,56,563
gui,700,56,1137
comp,700,56,398
gui,700,56,984
comp,700,56,388
gui,700,56,982
comp,700,56,525
gui,700,56,1865
comp,700,56,540
gui,700,56,1794
comp,700,56,369
gui,700,56,1103
comp,700,56,388
gui,700,56,981
comp,700,56,399
gui,700,56,985
comp,700,56,507
gui,700,56,1644
comp,700,56,417
gui,700,56,994
comp,700,56,475
gui,700,56,1077
comp,700,56,384
gui,700,56,1107
comp,700,56,382
gui,700,56,958
comp,700,56,441
gui,700,56,1182
comp,700,56,387
gui,700,56,1106
comp,700,56,389
gui,700,56,1002
comp,700,56,398
gui,700,56,1052
comp,700,56,421
gui,700,56,1675
comp,700,56,399
gui,700,56,1011
comp,700,56,385
gui,700,56,998
comp,700,56,597
gui,700,56,2005
comp,700,56,405
gui,700,56,1188
comp,700,56,512
gui,700,56,1255
comp,700,56,465
gui,700,56,1808
comp,700,56,432
gui,700,56,1047
comp,700,56,486
gui,700,56,2052
comp,700,56,556
gui,700,56,1959
comp,700,56,383
gui,700,56,1070
comp,700,56,487
gui,700,56,1195
comp,700,56,392
gui,700,56,1061
comp,700,56,421
gui,700,56,1091
comp,700,56,485
gui,700,56,1959
comp,700,56,378
gui,700,56,1140
comp,700,56,511
gui,700,56,1976
comp,700,56,441
gui,700,56,1232
comp,700,56,385
gui,700,56,1165
comp,700,56,404
gui,700,56,1452
comp,700,56,498
gui,700,56,1825
comp,700,56,366
gui,700,56,1008
comp,700,56,508
gui,700,56,1861
comp,700,56,423
gui,700,56,1569
comp,700,56,367
gui,700,56,977
comp,700,56,397
gui,700,56,1109
comp,700,56,526
gui,700,56,1850
comp,700,56,365
gui,700,56,1007
comp,700,56,439
gui,700,56,1009
comp,700,56,366
gui,700,56,1030
comp,700,56,366
gui,700,56,1000
comp,700,56,400
gui,700,56,982
comp,700,56,400
gui,700,56,955
comp,700,56,619
gui,700,56,1467
comp,700,56,580
gui,700,56,985
comp,700,56,437
gui,700,56,1255
comp,700,56,616
gui,700,56,2109
comp,700,56,550
gui,700,56,1285
comp,700,56,359
gui,700,56,1524
comp,700,56,389
gui,700,56,1217
comp,700,56,378
gui,700,56,1058
comp,700,56,372
gui,700,56,1172
comp,700,56,382
gui,700,56,1508
comp,700,56,669
gui,700,56,2123
comp,700,56,385
gui,700,56,1163
comp,700,56,616
gui,700,56,1927
comp,700,56,375
gui,700,56,1026
comp,700,56,622
gui,700,56,1693
comp,700,56,585
gui,700,56,2008
comp,700,56,448
gui,700,56,1873
comp,700,56,386
gui,700,56,1312
comp,700,56,372
gui,700,56,1079
comp,700,56,371
gui,700,56,1078
comp,700,56,358
gui,700,56,1344
comp,700,56,584
gui,700,56,2074
comp,700,56,377
gui,700,56,1153
comp,700,56,379
gui,700,56,1431
comp,700,56,449
gui,700,56,1180
comp,700,56,393
gui,700,56,1112
comp,700,56,423
gui,700,56,1610
comp,700,56,642
gui,700,56,1898
comp,700,56,600
gui,700,56,2074
comp,700,56,355
gui,700,56,1320
comp,700,56,445
gui,700,56,1155
comp,700,56,407
gui,700,56,978
comp,800,56,564
gui,800,56,1139
comp,800,56,429
gui,800,56,751
comp,800,56,740
gui,800,56,1670
comp,800,56,727
gui,800,56,1712
comp,800,56,430
gui,800,56,877
comp,800,56,476
gui,800,56,1127
comp,800,56,666
gui,800,56,1961
comp,800,56,446
gui,800,56,1320
comp,800,56,767
gui,800,56,1879
comp,800,56,675
gui,800,56,1855
comp,800,56,407
gui,800,56,1351
comp,800,56,604
gui,800,56,1763
comp,800,56,472
gui,800,56,999
comp,800,56,408
gui,800,56,1174
comp,800,56,439
gui,800,56,1077
comp,800,56,603
gui,800,56,1259
comp,800,56,498
gui,800,56,1419
comp,800,56,685
gui,800,56,1883
comp,800,56,446
gui,800,56,1304
comp,800,56,467
gui,800,56,1130
comp,800,56,621
gui,800,56,2110
comp,800,56,593
gui,800,56,2278
comp,800,56,450
gui,800,56,1008
comp,800,56,691
gui,800,56,1993
comp,800,56,508
gui,800,56,1068
comp,800,56,591
gui,800,56,1395
comp,800,56,475
gui,800,56,1406
comp,800,56,708
gui,800,56,1809
comp,800,56,403
gui,800,56,1121
comp,800,56,406
gui,800,56,1631
comp,800,56,418
gui,800,56,1094
comp,800,56,444
gui,800,56,1171
comp,800,56,462
gui,800,56,1097
comp,800,56,403
gui,800,56,979
comp,800,56,402
gui,800,56,1026
comp,800,56,657
gui,800,56,2179
comp,800,56,482
gui,800,56,1044
comp,800,56,750
gui,800,56,1322
comp,800,56,406
gui,800,56,985
comp,800,56,401
gui,800,56,1026
comp,800,56,578
gui,800,56,1389
comp,800,56,435
gui,800,56,1023
comp,800,56,477
gui,800,56,1509
comp,800,56,640
gui,800,56,2017
comp,800,56,503
gui,800,56,1248
comp,800,56,428
gui,800,56,1000
comp,800,56,419
gui,800,56,1229
comp,800,56,465
gui,800,56,1344
comp,800,56,441
gui,800,56,1228
comp,800,56,419
gui,800,56,1092
comp,800,56,448
gui,800,56,1029
comp,800,56,545
gui,800,56,1140
comp,800,56,591
gui,800,56,2009
comp,800,56,602
gui,800,56,1752
comp,800,56,486
gui,800,56,1182
comp,800,56,448
gui,800,56,1213
comp,800,56,469
gui,800,56,1147
comp,800,56,577
gui,800,56,1923
comp,800,56,576
gui,800,56,1885
comp,800,56,555
gui,800,56,2252
comp,800,56,576
gui,800,56,2038
comp,800,56,407
gui,800,56,1091
comp,800,56,719
gui,800,56,2439
comp,800,56,449
gui,800,56,1428
comp,800,56,411
gui,800,56,1108
comp,800,56,448
gui,800,56,1157
comp,800,56,555
gui,800,56,1323
comp,800,56,506
gui,800,56,2014
comp,800,56,459
gui,800,56,1079
comp,800,56,465
gui,800,56,1055
comp,800,56,438
gui,800,56,1115
comp,800,56,683
gui,800,56,2169
comp,800,56,449
gui,800,56,1254
comp,800,56,454
gui,800,56,1084
comp,800,56,613
gui,800,56,2011
comp,800,56,478
gui,800,56,1697
comp,800,56,403
gui,800,56,1081
comp,800,56,481
gui,800,56,1137
comp,800,56,402
gui,800,56,1298
comp,800,56,407
gui,800,56,1158
comp,800,56,565
gui,800,56,2028
comp,800,56,475
gui,800,56,1058
comp,800,56,410
gui,800,56,1067
comp,800,56,778
gui,800,56,2246
comp,800,56,444
gui,800,56,1790
comp,800,56,589
gui,800,56,2009
comp,800,56,707
gui,800,56,2186
comp,800,56,515
gui,800,56,1821
comp,800,56,688
gui,800,56,2200
comp,800,56,846
gui,800,56,1611
comp,800,56,401
gui,800,56,1227
comp,800,56,431
gui,800,56,1012
comp,800,56,439
gui,800,56,1080
comp,800,56,438
gui,800,56,1153
comp,800,56,789
gui,800,56,2122
comp,800,56,559
gui,800,56,1398
comp,800,56,561
gui,800,56,1801
comp,800,56,407
gui,800,56,1137
comp,800,56,723
gui,800,56,2244
comp,800,56,418
gui,800,56,1146
comp,800,56,740
gui,800,56,2197
comp,800,56,537
gui,800,56,1593
comp,800,56,478
gui,800,56,1032
comp,800,56,1257
gui,800,56,1992
comp,800,56,403
gui,800,56,1043
comp,800,56,460
gui,800,56,1013
comp,800,56,457
gui,800,56,1071
comp,800,56,412
gui,800,56,1150
comp,800,56,443
gui,800,56,1045
comp,800,56,651
gui,800,56,1941
comp,800,56,428
gui,800,56,1190
comp,800,56,525
gui,800,56,1301
comp,800,56,468
gui,800,56,1034
comp,800,56,442
gui,800,56,1122
comp,800,56,478
gui,800,56,1120
comp,800,56,500
gui,800,56,1309
comp,800,56,517
gui,800,56,1978
comp,800,56,780
gui,800,56,2643
comp,800,56,437
gui,800,56,1129
comp,800,56,483
gui,800,56,1101
comp,800,56,442
gui,800,56,1177
comp,800,56,430
gui,800,56,1520
comp,800,56,689
gui,800,56,1442
comp,800,56,563
gui,800,56,1909
comp,800,56,417
gui,800,56,2108
comp,800,56,496
gui,800,56,3009
comp,800,56,427
gui,800,56,1027
comp,800,56,472
gui,800,56,1122
comp,800,56,544
gui,800,56,1087
comp,800,56,583
gui,800,56,1651
comp,800,56,498
gui,800,56,1421
comp,800,56,432
gui,800,56,1043
comp,800,56,418
gui,800,56,1174
comp,800,56,589
gui,800,56,1977
comp,900,56,648
gui,900,56,802
comp,900,56,667
gui,900,56,1037
comp,900,56,451
gui,900,56,936
comp,900,56,474
gui,900,56,872
comp,900,56,460
gui,900,56,897
comp,900,56,565
gui,900,56,1069
comp,900,56,839
gui,900,56,2138
comp,900,56,660
gui,900,56,1699
comp,900,56,691
gui,900,56,2688
comp,900,56,557
gui,900,56,2055
comp,900,56,786
gui,900,56,1497
comp,900,56,732
gui,900,56,2017
comp,900,56,759
gui,900,56,1948
comp,900,56,598
gui,900,56,1530
comp,900,56,446
gui,900,56,1022
comp,900,56,486
gui,900,56,1127
comp,900,56,577
gui,900,56,1988
comp,900,56,455
gui,900,56,1087
comp,900,56,675
gui,900,56,2161
comp,900,56,768
gui,900,56,2279
comp,900,56,544
gui,900,56,1144
comp,900,56,557
gui,900,56,2081
comp,900,56,670
gui,900,56,2009
comp,900,56,759
gui,900,56,1962
comp,900,56,543
gui,900,56,2232
comp,900,56,672
gui,900,56,2258
comp,900,56,457
gui,900,56,1199
comp,900,56,457
gui,900,56,1543
comp,900,56,458
gui,900,56,1077
comp,900,56,519
gui,900,56,2000
comp,900,56,671
gui,900,56,2201
comp,900,56,480
gui,900,56,1085
comp,900,56,730
gui,900,56,1905
comp,900,56,659
gui,900,56,2143
comp,900,56,455
gui,900,56,1196
comp,900,56,785
gui,900,56,2278
comp,900,56,638
gui,900,56,1279
comp,900,56,664
gui,900,56,1612
comp,900,56,595
gui,900,56,1849
comp,900,56,454
gui,900,56,1129
comp,900,56,476
gui,900,56,1207
comp,900,56,515
gui,900,56,1227
comp,900,56,491
gui,900,56,2027
comp,900,56,458
gui,900,56,1130
comp,900,56,651
gui,900,56,2135
comp,900,56,457
gui,900,56,1128
comp,900,56,607
gui,900,56,1124
comp,900,56,709
gui,900,56,1679
comp,900,56,757
gui,900,56,3002
comp,900,56,507
gui,900,56,1118
comp,900,56,554
gui,900,56,2114
comp,900,56,457
gui,900,56,1188
comp,900,56,679
gui,900,56,1141
comp,900,56,616
gui,900,56,1468
comp,900,56,556
gui,900,56,1782
comp,900,56,520
gui,900,56,1113
comp,900,56,473
gui,900,56,1144
comp,900,56,467
gui,900,56,1178
comp,900,56,1001
gui,900,56,2790
comp,900,56,735
gui,900,56,2319
comp,900,56,454
gui,900,56,1174
comp,900,56,641
gui,900,56,2248
comp,900,56,830
gui,900,56,2227
comp,900,56,516
gui,900,56,1131
comp,900,56,539
gui,900,56,1325
comp,900,56,594
gui,900,56,1721
comp,900,56,642
gui,900,56,2075
comp,900,56,820
gui,900,56,1892
comp,900,56,774
gui,900,56,2288
comp,900,56,855
gui,900,56,2301
comp,900,56,799
gui,900,56,2458
